# Source: GeoNames JP dump (https://download.geonames.org/export/dump/JP.zip)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Columns: display_name	lat	lon	feature_code	population	search_terms
1 Chome (Okinawa)	26.35975	127.84305	PPLX	0	1chome|okinawa|おきなわ|おきなわけん|オキナワ|オキナワケン|冲绳县|沖縄|沖縄県|沖繩縣
2 Chome (Okinawa)	26.35727	127.8423	PPLX	0	2chome|okinawa|おきなわ|おきなわけん|オキナワ|オキナワケン|冲绳县|沖縄|沖縄県|沖繩縣
3 Chome (Okinawa)	26.3552	127.84663	PPLX	0	3chome|okinawa|おきなわ|おきなわけん|オキナワ|オキナワケン|冲绳县|沖縄|沖縄県|沖繩縣
4 Chome (Okinawa)	26.35302	127.84586	PPLX	0	4chome|okinawa|おきなわ|おきなわけん|オキナワ|オキナワケン|冲绳县|沖縄|沖縄県|沖繩縣
ADJI apato 1 (Ibaraki)	36.22379	140.24035	PPL	0	adjiapato1|ibaraki|いばらき|いばらきけん|イバラキ|イバラキケン|茨城|茨城县|茨城県|茨城縣
Abakachō (Fukui)	36.01234	136.29957	PPL	0	abakachō|abakacho|安波賀町|fukui|ふくい|ふくいけん|フクイ|フクイケン|福井|福井县|福井県|福井縣|ふくい安波賀町|ふくいけん安波賀町|フクイ安波賀町|フクイケン安波賀町|福井安波賀町|福井县安波賀町|福井県安波賀町|福井縣安波賀町
Abamachi (Nagasaki Prefecture)	32.75	129.95	PPL	0	abamachi|nagasakiprefecture|なかさき|なかさきけん|ナガサキ|ナガサキケン|長崎|長崎県|長崎縣|长崎县
Abara (Aomori-ken)	40.48547	140.62238	PPL	0	abara|あばら|アバラ|阿原|aomoriken|あおもりけん|アオモリケン|青森|青森县|青森県|青森縣|あおもりけんあばら|あおもりけんアバラ|あおもりけん阿原|アオモリケンあばら|アオモリケンアバラ|アオモリケン阿原|青森あばら|青森アバラ|青森阿原|青森县あばら|青森县アバラ|青森县阿原|青森県あばら|青森県アバラ|青森県阿原|青森縣あばら|青森縣アバラ|青森縣阿原
Abashiri (Hokkaido)	44.02127	144.26971	PPLA2	35759	abashiri|網走|網走市|hokkaido|ほっかいどう|ホッカイドウ|北海|北海道|ほっかいどう網走|ほっかいどう網走市|ホッカイドウ網走|ホッカイドウ網走市|北海網走|北海網走市|北海道網走|北海道網走市
Abashiri Shi (Hokkaido)	43.98565	144.21051	ADM2	38240	abashirishi|あばしりし|アバシリシ|網走|網走市|hokkaido|ほっかいどう|ホッカイドウ|北海|北海道|ほっかいどうあばしりし|ほっかいどうアバシリシ|ほっかいどう網走|ほっかいどう網走市|ホッカイドウあばしりし|ホッカイドウアバシリシ|ホッカイドウ網走|ホッカイドウ網走市|北海あばしりし|北海アバシリシ|北海網走|北海網走市|北海道あばしりし|北海道アバシリシ|北海道網走|北海道網走市
Abashiri-gun (Hokkaido)	43.6893	144.09808	ADM2	0	abashirigun|あばしりぐん|網走郡|网走郡|hokkaido|ほっかいどう|ホッカイドウ|北海|北海道|ほっかいどうあばしりぐん|ほっかいどう網走郡|ほっかいどう网走郡|ホッカイドウあばしりぐん|ホッカイドウ網走郡|ホッカイドウ网走郡|北海あばしりぐん|北海網走郡|北海网走郡|北海道あばしりぐん|北海道網走郡|北海道网走郡
Abe (Chiba-ken)	35.3777	140.02796	PPL	0	abe|あべ|アベ|阿部|chibaken|ちばけん|千叶县|千葉|千葉県|千葉縣|ちばけんあべ|ちばけんアベ|ちばけん阿部|千叶县あべ|千叶县アベ|千叶县阿部|千葉あべ|千葉アベ|千葉阿部|千葉県あべ|千葉県アベ|千葉県阿部|千葉縣あべ|千葉縣アベ|千葉縣阿部
Abe (Kumamoto)	32.61774	130.87985	PPL	0	abe|あべ|アベ|安部|kumamoto|くまもと|くまもとけん|クマモト|クマモトケン|熊本|熊本县|熊本県|熊本縣|くまもとあべ|くまもとアベ|くまもと安部|くまもとけんあべ|くまもとけんアベ|くまもとけん安部|クマモトあべ|クマモトアベ|クマモト安部|クマモトケンあべ|クマモトケンアベ|クマモトケン安部|熊本あべ|熊本アベ|熊本安部|熊本县あべ|熊本县アベ|熊本县安部|熊本県あべ|熊本県アベ|熊本県安部|熊本縣あべ|熊本縣アベ|熊本縣安部
Abe (Nara-ken)	34.50238	135.84095	PPL	0	abe|阿部|naraken|ならけん|奈良|奈良县|奈良県|奈良縣|ならけん阿部|奈良阿部|奈良县阿部|奈良県阿部|奈良縣阿部
